Year,Country,Happiness Rank,Happiness Score,Freedom,Generosity,Healthy life expectancy,Perceptions of corruption,GDP per capita,Social support,Dystopia Residual
2016,New Zealand,8,7.334,0.58147,0.49401,0.83096,0.41904,1.36066,,2.47553
2016,Australia,9,7.313,0.56837,0.47407,0.8512,0.32331,1.44443,,2.5465
2016,Sweden,10,7.291,0.58218,0.38254,0.83121,0.40867,1.45181,,2.54734
2016,Israel,11,7.267,0.36432,0.32288,0.84917,0.08728,1.33766,,3.31029
2016,Austria,12,7.119,0.54355,0.32865,0.80565,0.21348,1.45038,,2.69343
2016,United States,13,7.104,0.48163,0.41077,0.779,0.14868,1.50796,,2.72782
2016,Costa Rica,14,7.087,0.55225,0.22553,0.76146,0.10547,1.06879,,3.35168
2016,Puerto Rico,15,7.039,0.46823,0.22202,0.77758,0.12275,1.35943,,3.0076
2016,Germany,16,6.994,0.53466,0.30452,0.81487,0.28551,1.44787,,2.50931
2016,Brazil,17,6.952,0.40425,0.15776,0.61415,0.14166,1.08754,,3.50733
2016,Belgium,18,6.929,0.51354,0.2424,0.81959,0.26248,1.42539,,2.61355
2016,Ireland,19,6.907,0.54008,0.44963,0.81455,0.29754,1.48341,,2.15988
2016,Luxembourg,20,6.871,0.5487,0.27571,0.84542,0.35329,1.69752,,2.11055
2016,Mexico,21,6.778,0.37709,0.11735,0.71143,0.18355,1.11508,,3.55906
2016,Singapore,22,6.739,0.4877,0.32706,0.94719,0.46987,1.64555,,1.99375
2016,United Kingdom,23,6.725,0.50036,0.50156,0.80991,0.27399,1.40283,,2.14999
2016,Chile,24,6.705,0.37789,0.31595,0.81883,0.11451,1.2167,,2.95505
2016,Panama,25,6.701,0.48927,0.2418,0.70835,0.08423,1.18306,,3.00559
2016,Argentina,26,6.65,0.42284,0.10989,0.69711,0.07296,1.15137,,3.12985
2016,Czechia,27,6.596,0.41418,0.09929,0.76376,0.03986,1.30915,,2.96211
2016,United Arab Emirates,28,6.573,0.56215,0.26591,0.72993,0.35561,1.57352,,2.21507
2016,Uruguay,29,6.545,0.54388,0.18056,0.72183,0.21394,1.18157,,2.67139
2016,Malta,30,6.488,0.54994,0.56237,0.80315,0.17554,1.30782,,1.99032
2016,Colombia,31,6.481,0.44735,0.15626,0.59659,0.05399,1.03032,,3.17471
2016,France,32,6.478,0.46562,0.1216,0.83795,0.17808,1.39488,,2.4744
2016,Thailand,33,6.474,0.49553,0.58696,0.64915,0.02833,1.0893,,2.5796
2016,Saudi Arabia,34,6.379,0.37904,0.15457,0.59267,0.30008,1.48953,,2.61482
2016,Taiwan Province of China,34,6.379,0.32377,0.25495,0.79565,0.0663,1.39729,,2.61523
2016,Qatar,36,6.375,0.56679,0.32388,0.71723,0.48049,1.82427,,1.58224
2016,Spain,37,6.361,0.37545,0.17665,0.87896,0.06137,1.34253,,2.39663
2016,Algeria,38,6.355,0.21006,0.07044,0.61804,0.16157,1.05266,,3.40904
2016,Guatemala,39,6.324,0.50379,0.28808,0.54039,0.08701,0.83454,,3.19863
2016,Suriname,40,6.269,0.52234,0.16665,0.50933,0.12692,1.09686,,3.06852
2016,Kuwait,41,6.239,0.43166,0.15965,0.63569,0.23669,1.61714,,2.28085
2016,Bahrain,42,6.218,0.47375,0.17147,0.65696,0.25772,1.44024,,2.27405
2016,Trinidad and Tobago,43,6.168,0.48453,0.31935,0.52608,0.01241,1.32572,,2.51394
2016,Venezuela,44,6.084,0.19847,0.0425,0.61904,0.08304,1.13367,,2.97468
2016,Slovakia,45,6.078,0.23391,0.13837,0.70367,0.02947,1.27973,,2.61065
2016,El Salvador,46,6.068,0.37269,0.08877,0.596,0.10613,0.8737,,3.22134
2016,Malaysia,47,6.005,0.39031,0.41474,0.62366,0.09081,1.25142,,2.35384
2016,Nicaragua,48,5.992,0.46582,0.29773,0.65213,0.16292,0.69384,,2.82428
2016,Uzbekistan,49,5.987,0.60848,0.34326,0.50163,0.28333,0.73591,,2.34638
2016,Italy,50,5.977,0.18827,0.16684,0.85102,0.02556,1.35495,,2.34918
2016,Ecuador,51,5.976,0.4027,0.10074,0.68613,0.18037,0.97306,,2.77366
2016,Belize,52,5.956,0.51231,0.23684,0.45569,0.10771,0.87616,,3.08039
2016,Japan,53,5.921,0.46761,0.10224,0.91491,0.18985,1.38007,,1.80584
2016,Kazakhstan,54,5.919,0.4052,0.15011,0.57386,0.11132,1.22943,,2.49325
2016,Moldova,55,5.897,0.25202,0.19997,0.52309,0.01903,0.69177,,3.38007
2016,Russia,56,5.856,0.32682,0.02736,0.58991,0.03586,1.23228,,2.59115
2016,Poland,57,5.835,0.4519,0.14443,0.69058,0.055,1.24585,,2.20035
2016,South Korea,57,5.835,0.25168,0.18824,0.88645,0.07716,1.35948,,2.35015
2016,Bolivia,59,5.822,0.50961,0.21698,0.4697,0.07746,0.79422,,2.91635
2016,Lithuania,60,5.813,0.18929,0.02025,0.64674,0.0182,1.2692,,2.60525
2016,Belarus,61,5.802,0.29091,0.13942,0.63104,0.17457,1.13062,,2.38582
2016,North Cyprus,62,5.771,0.43596,0.26322,0.84142,0.16578,1.31141,,1.93447
2016,Slovenia,63,5.768,0.53164,0.25738,0.79151,0.03635,1.29947,,1.79522
2016,Peru,64,5.743,0.37502,0.14527,0.62994,0.05292,0.99602,,2.73117
2016,Turkmenistan,65,5.658,0.37408,0.22567,0.44006,0.28467,1.08017,,2.21489
2016,Mauritius,66,5.648,0.46145,0.36951,0.66189,0.05203,1.14372,,2.20223
2016,Libya,67,5.615,0.40672,0.17087,0.52304,0.10339,1.06688,,2.39374
2016,Latvia,68,5.56,0.27996,0.17445,0.63952,0.0889,1.21788,,2.20859
2016,Cyprus,69,5.546,0.29507,0.27906,0.8488,0.05228,1.31857,,2.04497
2016,Paraguay,70,5.538,0.46235,0.25296,0.58295,0.07396,0.89373,,2.16091
2016,Romania,71,5.528,0.36712,0.12889,0.67602,0.00679,1.1697,,2.45184
2016,Estonia,72,5.517,0.41511,0.08423,0.68098,0.18519,1.27964,,1.81985
2016,Jamaica,73,5.51,0.43597,0.22245,0.59469,0.04294,0.89333,,2.35682
2016,Croatia,74,5.488,0.23907,0.18434,0.70524,0.04002,1.18649,,2.52462
2016,Hong Kong S.A.R. of China,75,5.458,0.48079,0.40097,0.95277,0.31647,1.5107,,0.92614
2016,Somalia,76,5.44,0.56778,0.27225,0.11466,0.3118,0.0,,3.83772
2016,Kosovo,77,5.401,0.14396,0.27992,0.54,0.06547,0.90145,,2.80998
2016,Turkey,78,5.389,0.23889,0.04707,0.64718,0.12348,1.16492,,2.29074
2016,Indonesia,79,5.314,0.39237,0.56521,0.49374,0.00322,0.95104,,2.03171
2016,Jordan,80,5.303,0.36023,0.14262,0.60712,0.13297,0.99673,,2.20142
2016,Azerbaijan,81,5.291,0.35327,0.0564,0.54504,0.17914,1.12373,,2.2735
2016,Philippines,82,5.279,0.54854,0.21674,0.47036,0.11757,0.81217,,2.23484
2016,China,83,5.245,0.44012,0.04959,0.73561,0.02745,1.0278,,2.17087
2016,Bhutan,84,5.196,0.46074,0.48546,0.49759,0.1616,0.8527,,1.82916
2016,Kyrgyzstan,85,5.185,0.40212,0.38432,0.55449,0.04762,0.56044,,2.28136
2016,Serbia,86,5.177,0.15718,0.20737,0.6458,0.04339,1.03437,,2.27539
2016,Bosnia and Herzegovina,87,5.163,0.09511,0.29889,0.70766,0.0,0.93383,,2.48406
2016,Montenegro,88,5.161,0.15111,0.17191,0.63533,0.12721,1.07838,,2.25531
2016,Dominican Republic,89,5.155,0.52259,0.21286,0.57669,0.12372,1.02787,,1.69626
2016,Morocco,90,5.151,0.25646,0.04053,0.59471,0.08404,0.84058,,2.94891
2016,Hungary,91,5.145,0.1977,0.099,0.67608,0.04472,1.24142,,1.95473
2016,Pakistan,92,5.132,0.14622,0.31185,0.40306,0.1388,0.68816,,3.18286
2016,Lebanon,93,5.129,0.26228,0.23693,0.76171,0.03061,1.12268,,2.07339
2016,Portugal,94,5.123,0.44727,0.11691,0.79363,0.01521,1.27607,,1.53015
2016,North Macedonia,95,5.121,0.27668,0.23507,0.64738,0.07047,1.0193,,2.08947
2016,Vietnam,96,5.061,0.55954,0.25075,0.66157,0.11556,0.74037,,1.9418
2016,Somaliland Region,97,5.057,0.3913,0.51479,0.33108,0.36794,0.25558,,2.43801
2016,Tunisia,98,5.045,0.23553,0.03936,0.59577,0.0817,0.97724,,2.68413
2016,Greece,99,5.033,0.05822,0.0,0.80029,0.04127,1.24886,,2.12944
2016,Tajikistan,100,4.996,0.43408,0.25998,0.53119,0.13509,0.48835,,2.39106
2016,Mongolia,101,4.907,0.35972,0.34539,0.55469,0.03285,0.98853,,1.53586
2016,Laos,102,4.876,0.52168,0.43079,0.38291,0.22423,0.68042,,2.08637
2016,Nigeria,103,4.875,0.27854,0.23219,0.05108,0.0305,0.75216,,2.88586
2016,Honduras,104,4.871,0.26755,0.2044,0.58383,0.06906,0.69429,,2.29551
2016,Iran,105,4.813,0.22544,0.38538,0.64232,0.0557,1.11758,,1.99817
2016,Zambia,106,4.795,0.42662,0.17866,0.23573,0.11479,0.61202,,2.58991
2016,Nepal,107,4.793,0.37012,0.3816,0.50073,0.07008,0.44626,,2.32694
2016,Palestinian Territories,108,4.754,0.17744,0.11154,0.56844,0.10613,0.67024,,2.40364
2016,Albania,109,4.655,0.31866,0.1684,0.73007,0.05301,0.9553,,1.92816
2016,Bangladesh,110,4.643,0.39778,0.19132,0.52989,0.12583,0.54177,,2.60904
2016,Sierra Leone,111,4.635,0.30685,0.23897,0.0,0.08196,0.36485,,3.01402
2016,Iraq,112,4.575,0.24856,0.19589,0.51076,0.13636,1.07474,,1.81657
2016,Namibia,113,4.574,0.48614,0.07795,0.34745,0.10398,0.93287,,1.92198
2016,Cameroon,114,4.513,0.42736,0.2268,0.12698,0.06126,0.52497,,2.5198
2016,Ethiopia,115,4.508,0.36703,0.29522,0.34578,0.1717,0.29283,,2.65614
2016,South Africa,116,4.459,0.42483,0.13656,0.18611,0.08415,1.02416,,1.64227
2016,Sri Lanka,117,4.415,0.50817,0.46978,0.62007,0.07964,0.97318,,0.91681
2016,India,118,4.404,0.40285,0.25028,0.45091,0.08722,0.74036,,2.18032
2016,Myanmar,119,4.395,0.42692,0.81971,0.3988,0.20243,0.34112,,1.50655
2016,Egypt,120,4.362,0.18847,0.12706,0.52116,0.10393,0.95395,,1.96895
2016,Armenia,121,4.36,0.14037,0.07793,0.64083,0.03616,0.86086,,1.97864
2016,Kenya,122,4.356,0.40576,0.41328,0.30147,0.06686,0.52267,,1.88326
2016,Ukraine,123,4.324,0.12859,0.20363,0.58628,0.01829,0.87287,,1.50066
2016,Ghana,124,4.276,0.40973,0.21203,0.29681,0.0326,0.63107,,2.2002
2016,Congo (Kinshasa),125,4.272,0.15602,0.25458,0.188,0.06075,0.05661,,2.74924
2016,Georgia,126,4.252,0.32461,0.06786,0.64035,0.3188,0.83792,,1.87031
2016,Congo (Brazzaville),127,4.236,0.37938,0.12077,0.28212,0.09753,0.77109,,2.10681
2016,Senegal,128,4.219,0.31056,0.19103,0.40457,0.11681,0.44314,,1.97861
2016,Bulgaria,129,4.217,0.21219,0.12793,0.67806,0.00615,1.11306,,1.15377
2016,Mauritania,130,4.201,0.1268,0.22686,0.28639,0.17955,0.61391,,1.9263
2016,Zimbabwe,131,4.193,0.25429,0.18503,0.1595,0.08582,0.35041,,2.4427
2016,Malawi,132,4.156,0.4143,0.30968,0.29364,0.07564,0.08709,,2.82859
2016,Sudan,133,4.139,0.0,0.18077,0.29759,0.10039,0.63069,,2.10995
2016,Gabon,134,4.121,0.28098,0.06244,0.3494,0.09314,1.15851,,1.45332
2016,Mali,135,4.073,0.27544,0.21064,0.16347,0.13647,0.31292,,2.11087
2016,Haiti,136,4.028,0.12072,0.47958,0.27494,0.14476,0.34097,,2.37116
2016,Botswana,137,3.974,0.44089,0.12425,0.34752,0.10769,1.09426,,0.96741
2016,Comoros,138,3.956,0.15412,0.1827,0.29981,0.18437,0.27509,,2.25632
2016,Ivory Coast,139,3.916,0.40663,0.20338,0.04476,0.1553,0.55507,,1.97478
2016,Cambodia,140,3.907,0.58852,0.40339,0.42494,0.08092,0.55604,,1.31573
2016,Angola,141,3.866,0.00589,0.12071,0.04991,0.08434,0.84731,,2.09459
2016,Niger,142,3.856,0.38041,0.2097,0.26162,0.17176,0.1327,,2.09469
